,ST,City  - Station Code,City,Code
99,AL,MOBILE-KMOB,MOBILE,KMOB
100,MN,MINNEAPOLIS-KMPX,MINNEAPOLIS,KMPX
101,MI,MARQUETTE-KMQT,MARQUETTE,KMQT
102,TN,KNOXVILLE-KMRX,KNOXVILLE,KMRX
103,MT,MISSOULA-KMSX,MISSOULA,KMSX
104,UT,SALT LAKE CITY-KMTX,SALT LAKE CITY,KMTX
105,CA,SAN FRANCISCO-KMUX,SAN FRANCISCO,KMUX
106,ND,GRAND FORKS-KMVX,GRAND FORKS,KMVX
107,AL,MAXWELL AFB-KMXX,MAXWELL AFB,KMXX
108,CA,SAN DIEGO-KNKX,SAN DIEGO,KNKX
109,TN,MEMPHIS-KNQA,MEMPHIS,KNQA
110,NE,OMAHA-KOAX,OMAHA,KOAX
111,TN,NASHVILLE-KOHX,NASHVILLE,KOHX
112,NY,NEW YORK CITY-KOKX,NEW YORK CITY,KOKX
113,WA,SPOKANE-KOTX,SPOKANE,KOTX
114,OK,NORMAN NSSL-KOUN,NORMAN NSSL,KOUN
115,KY,PADUCAH-KPAH,PADUCAH,KPAH
116,PA,PITTSBURGH-KPBZ,PITTSBURGH,KPBZ
117,OR,PENDLETON-KPDT,PENDLETON,KPDT
118,LA,FORT POLK-KPOE,FORT POLK,KPOE
119,CO,PUEBLO-KPUX,PUEBLO,KPUX
120,NC,RALEIGH DURHAM-KRAX,RALEIGH DURHAM,KRAX
121,NV,RENO-KRGX,RENO,KRGX
122,WY,RIVERTON-KRIW,RIVERTON,KRIW
123,WV,CHARLESTON-KRLX,CHARLESTON,KRLX
124,OR,PORTLAND-KRTX,PORTLAND,KRTX
125,ID,POCATELLO-KSFX,POCATELLO,KSFX
126,MO,SPRINGFIELD-KSGF,SPRINGFIELD,KSGF
127,LA,SHREVEPORT-KSHV,SHREVEPORT,KSHV
128,TX,SAN ANGELO-KSJT,SAN ANGELO,KSJT
129,CA,SANTA ANA MOUNTAINS-KSOX,SANTA ANA MOUNTAINS,KSOX
130,AR,FORT SMITH-KSRX,FORT SMITH,KSRX
131,FL,TAMPA-KTBW,TAMPA,KTBW
132,MT,GREAT FALLS-KTFX,GREAT FALLS,KTFX
133,FL,TALLAHASSEE-KTLH,TALLAHASSEE,KTLH
134,OK,OKLAHOMA CITY-KTLX,OKLAHOMA CITY,KTLX
135,KS,TOPEKA-KTWX,TOPEKA,KTWX
136,NY,FORT DRUM-KTYX,FORT DRUM,KTYX
137,SD,RAPID CITY-KUDX,RAPID CITY,KUDX
138,NE,HASTINGS-KUEX,HASTINGS,KUEX
139,GA,MOODY AFB-KVAX,MOODY AFB,KVAX
140,CA,VANDENBERG AFB-KVBX,VANDENBERG AFB,KVBX
141,OK,VANCE AFB-KVNX,VANCE AFB,KVNX
142,CA,LOS ANGELES-KVTX,LOS ANGELES,KVTX
143,IN,EVANSVILLE-KVWX,EVANSVILLE,KVWX
144,AZ,YUMA-KYUX,YUMA,KYUX
145,,LAJES AB-LPLA,LAJES AB,LPLA
146,AK,BETHEL FAA-PABC,BETHEL FAA,PABC
147,AK,SITKA-PACG,SITKA,PACG
148,AK,NOME-PAEC,NOME,PAEC
149,AK,ANCHORAGE-PAHG,ANCHORAGE,PAHG
150,AK,MIDDLETON ISLAND-PAIH,MIDDLETON ISLAND,PAIH
151,AK,KING SALMON-PAKC,KING SALMON,PAKC
152,AK,FAIRBANKS-PAPD,FAIRBANKS,PAPD
153,GU,ANDERSEN AFB AGANA-PGUA,ANDERSEN AFB AGANA,PGUA
154,HI,SOUTH KAUAI-PHKI,SOUTH KAUAI,PHKI
155,HI,KAMUELA-PHKM,KAMUELA,PHKM
156,HI,MOLOKAI-PHMO,MOLOKAI,PHMO
157,HI,SOUTH SHORE-PHWA,SOUTH SHORE,PHWA
158,,KUNSAN-RKJK,KUNSAN,RKJK
159,,CAMP HUMPHREYS-RKSG,CAMP HUMPHREYS,RKSG
160,,KADENA-RODN,KADENA,RODN
